ID,label,type,year
http://www.wikidata.org/entity/Q7546,Ingmar Bergman,DIRECTOR,1918
http://www.wikidata.org/entity/Q8877,Steven Spielberg,DIRECTOR,1946
http://www.wikidata.org/entity/Q542634,Alex Garland,DIRECTOR,1970
http://www.wikidata.org/entity/Q1342878,William K. Howard,DIRECTOR,1893
http://www.wikidata.org/entity/Q93833,Stefan Ruzowitzky,DIRECTOR,1961
http://www.wikidata.org/entity/Q381934,Fernando Trueba,DIRECTOR,1955
http://www.wikidata.org/entity/Q1455793,Jan Pinkava,DIRECTOR,1963
http://www.wikidata.org/entity/Q310960,Brad Bird,DIRECTOR,1957
http://www.wikidata.org/entity/Q51525,Miloš Forman,DIRECTOR,1932
http://www.wikidata.org/entity/Q28556,Michel Hazanavicius,DIRECTOR,1967
http://www.wikidata.org/entity/Q16731822,Albert Magnoli,DIRECTOR,1984
http://www.wikidata.org/entity/Q446960,George Miller,DIRECTOR,1945
http://www.wikidata.org/entity/Q133622,Thor Heyerdahl,DIRECTOR,1914
http://www.wikidata.org/entity/Q2224404,Sarah Kernochan,DIRECTOR,1947
http://www.wikidata.org/entity/Q5920891,Howard Smith,DIRECTOR,1936
http://www.wikidata.org/entity/Q1344373,Kevin Macdonald,DIRECTOR,1967
http://www.wikidata.org/entity/Q467785,Robert Mulligan,DIRECTOR,1925
http://www.wikidata.org/entity/Q1818885,Leon Gast,DIRECTOR,1936
http://www.wikidata.org/entity/Q51466,Budd Boetticher,DIRECTOR,1916
http://www.wikidata.org/entity/Q51472,Rouben Mamoulian,DIRECTOR,1897
http://www.wikidata.org/entity/Q192762,Darren Aronofsky,DIRECTOR,1969
http://www.wikidata.org/entity/Q59821,Robert Wise,DIRECTOR,1914
http://www.wikidata.org/entity/Q514527,Tom McCarthy,DIRECTOR,1966
http://www.wikidata.org/entity/Q41136,Arthur Penn,DIRECTOR,1922
http://www.wikidata.org/entity/Q119348,Irvin Kershner,DIRECTOR,1923
http://www.wikidata.org/entity/Q312988,David Yates,DIRECTOR,1963
http://www.wikidata.org/entity/Q6499321,Laura Poitras,DIRECTOR,1964
http://www.wikidata.org/entity/Q56094,Francis Ford Coppola,DIRECTOR,1939
http://www.wikidata.org/entity/Q55428,Neil Jordan,DIRECTOR,1950
http://www.wikidata.org/entity/Q51516,John Madden,DIRECTOR,1949
http://www.wikidata.org/entity/Q13595311,Joel Coen,DIRECTOR,1954
http://www.wikidata.org/entity/Q13595531,Ethan Coen,DIRECTOR,1957
http://www.wikidata.org/entity/Q184903,David Fincher,DIRECTOR,1962
http://www.wikidata.org/entity/Q52411,Tony Richardson,DIRECTOR,1928
http://www.wikidata.org/entity/Q977453,James Bridges,DIRECTOR,1936
http://www.wikidata.org/entity/Q95125,James L. Brooks,DIRECTOR,1940
http://www.wikidata.org/entity/Q4103889,Leonid Varlamov,DIRECTOR,1907
http://www.wikidata.org/entity/Q4232181,Ilya Kopalin,DIRECTOR,1900
http://www.wikidata.org/entity/Q223233,Sam Mendes,DIRECTOR,1965
http://www.wikidata.org/entity/Q6522913,Lenny Abrahamson,DIRECTOR,1966
http://www.wikidata.org/entity/Q314935,Paul Haggis,DIRECTOR,1953
http://www.wikidata.org/entity/Q260125,John G. Avildsen,DIRECTOR,1935
http://www.wikidata.org/entity/Q269692,Barry Levinson,DIRECTOR,1942
http://www.wikidata.org/entity/Q83233,Jacques Cousteau,DIRECTOR,1910
http://www.wikidata.org/entity/Q51499,Curtis Bernhardt,DIRECTOR,1899
http://www.wikidata.org/entity/Q353501,Rob Marshall,DIRECTOR,1960
http://www.wikidata.org/entity/Q275402,Sam Raimi,DIRECTOR,1959
http://www.wikidata.org/entity/Q179497,Oliver Stone,DIRECTOR,1946
http://www.wikidata.org/entity/Q13644887,Valerie Faris,DIRECTOR,1958
http://www.wikidata.org/entity/Q13644938,Jonathan Dayton,DIRECTOR,1957
http://www.wikidata.org/entity/Q56093,Blake Edwards,DIRECTOR,1922
http://www.wikidata.org/entity/Q250545,Baz Luhrmann,DIRECTOR,1962
http://www.wikidata.org/entity/Q59085,Robert Benton,DIRECTOR,1932
http://www.wikidata.org/entity/Q95111,Norman Taurog,DIRECTOR,1899
http://www.wikidata.org/entity/Q51133,King Vidor,DIRECTOR,1894
http://www.wikidata.org/entity/Q25186,Gus Van Sant,DIRECTOR,1952
http://www.wikidata.org/entity/Q1617323,Roger Ross Williams,DIRECTOR,1973
http://www.wikidata.org/entity/Q346508,Richard Lester,DIRECTOR,1932
http://www.wikidata.org/entity/Q2318712,Asif Kapadia,DIRECTOR,1972
http://www.wikidata.org/entity/Q6495014,László Nemes,DIRECTOR,1977
http://www.wikidata.org/entity/Q350405,Adam McKay,DIRECTOR,1968
http://www.wikidata.org/entity/Q968840,Kenneth Lonergan,DIRECTOR,1962
http://www.wikidata.org/entity/Q2092903,William Keighley,DIRECTOR,1889
http://www.wikidata.org/entity/Q59129,Michael Cimino,DIRECTOR,1939
http://www.wikidata.org/entity/Q51506,Richard Attenborough,DIRECTOR,1923
http://www.wikidata.org/entity/Q51577,James Ivory,DIRECTOR,1928
http://www.wikidata.org/entity/Q548823,Denis Villeneuve,DIRECTOR,1967
http://www.wikidata.org/entity/Q2639828,Tate Taylor,DIRECTOR,1969
http://www.wikidata.org/entity/Q721219,Davis Guggenheim,DIRECTOR,1963
http://www.wikidata.org/entity/Q352948,Joe Johnston,DIRECTOR,1950
http://www.wikidata.org/entity/Q3154622,Irving Reis,DIRECTOR,1906
http://www.wikidata.org/entity/Q457497,Dore Schary,DIRECTOR,1905
http://www.wikidata.org/entity/Q1361200,John Lee Hancock,DIRECTOR,1956
http://www.wikidata.org/entity/Q538578,Hugh Hudson,DIRECTOR,1936
http://www.wikidata.org/entity/Q126098,Michel Gondry,DIRECTOR,1963
http://www.wikidata.org/entity/Q382599,Michael Hoffman,DIRECTOR,1956
http://www.wikidata.org/entity/Q742622,Pierre Schoendoerffer,DIRECTOR,1928
http://www.wikidata.org/entity/Q1358863,John M. Stahl,DIRECTOR,1886
http://www.wikidata.org/entity/Q53009,Bernardo Bertolucci,DIRECTOR,1941
http://www.wikidata.org/entity/Q188137,J. J. Abrams,DIRECTOR,1966
http://www.wikidata.org/entity/Q26821227,Barry Jenkins,DIRECTOR,1979
http://www.wikidata.org/entity/Q219124,Guillermo del Toro,DIRECTOR,1964
http://www.wikidata.org/entity/Q51503,Franklin J. Schaffner,DIRECTOR,1920
http://www.wikidata.org/entity/Q51537,Mike Nichols,DIRECTOR,1931
http://www.wikidata.org/entity/Q51582,William Friedkin,DIRECTOR,1935
http://www.wikidata.org/entity/Q346595,Jonathan Frakes,DIRECTOR,1952
http://www.wikidata.org/entity/Q707321,Guy Green,DIRECTOR,1913
http://www.wikidata.org/entity/Q55258,Stephen Frears,DIRECTOR,1941
http://www.wikidata.org/entity/Q334242,Asghar Farhadi,DIRECTOR,1972
http://www.wikidata.org/entity/Q1364870,Irving Saraf,DIRECTOR,1932
http://www.wikidata.org/entity/Q202735,Billy Bob Thornton,DIRECTOR,1955
http://www.wikidata.org/entity/Q51570,George Roy Hill,DIRECTOR,1921
http://www.wikidata.org/entity/Q673103,Olivier Dahan,DIRECTOR,1967
http://www.wikidata.org/entity/Q372394,Martin McDonagh,DIRECTOR,1970
http://www.wikidata.org/entity/Q3568548,William Dear,DIRECTOR,1943
http://www.wikidata.org/entity/Q740071,Irwin Allen,DIRECTOR,1916
http://www.wikidata.org/entity/Q1145260,Curt Oertel,DIRECTOR,1890
http://www.wikidata.org/entity/Q263148,Robert J. Flaherty,DIRECTOR,1884
http://www.wikidata.org/entity/Q7327510,Richard Lyford,DIRECTOR,1917
http://www.wikidata.org/entity/Q213581,Anatole Litvak,DIRECTOR,1902
http://www.wikidata.org/entity/Q269796,Walter Lang,DIRECTOR,1896
http://www.wikidata.org/entity/Q25132,Paul Thomas Anderson,DIRECTOR,1970
http://www.wikidata.org/entity/Q31225,Mark Robson,DIRECTOR,1913
http://www.wikidata.org/entity/Q263022,Edmund Goulding,DIRECTOR,1891
http://www.wikidata.org/entity/Q240872,Lawrence Kasdan,DIRECTOR,1949
http://www.wikidata.org/entity/Q42101,Denzel Washington,DIRECTOR,1954
http://www.wikidata.org/entity/Q3371986,Jordan Peele,DIRECTOR,1979
http://www.wikidata.org/entity/Q1335528,Luca Guadagnino,DIRECTOR,1971
http://www.wikidata.org/entity/Q1064903,Wesley Ruggles,DIRECTOR,1889
http://www.wikidata.org/entity/Q369485,Peter Masterson,DIRECTOR,1934
http://www.wikidata.org/entity/Q55230,Emeric Pressburger,DIRECTOR,1902
http://www.wikidata.org/entity/Q490198,Emile Ardolino,DIRECTOR,1943
http://www.wikidata.org/entity/Q2094420,Stephan Elliott,DIRECTOR,1964
http://www.wikidata.org/entity/Q28028,Alfonso Cuarón,DIRECTOR,1961
http://www.wikidata.org/entity/Q3177199,Toshio Masuda,DIRECTOR,1927
