Source,Target,weight
http://www.wikidata.org/entity/Q17887,http://www.wikidata.org/entity/Q2225074,1
http://www.wikidata.org/entity/Q17887,http://www.wikidata.org/entity/Q718135,1
http://www.wikidata.org/entity/Q17887,http://www.wikidata.org/entity/Q59215,1
http://www.wikidata.org/entity/Q453683,http://www.wikidata.org/entity/Q78719,1
http://www.wikidata.org/entity/Q453683,http://www.wikidata.org/entity/Q62503,1
http://www.wikidata.org/entity/Q453683,http://www.wikidata.org/entity/Q1406503,1
http://www.wikidata.org/entity/Q78719,http://www.wikidata.org/entity/Q62503,1
http://www.wikidata.org/entity/Q78719,http://www.wikidata.org/entity/Q1406503,1
http://www.wikidata.org/entity/Q62503,http://www.wikidata.org/entity/Q1406503,1
http://www.wikidata.org/entity/Q457269,http://www.wikidata.org/entity/Q1804811,1
http://www.wikidata.org/entity/Q457269,http://www.wikidata.org/entity/Q213812,1
http://www.wikidata.org/entity/Q1175437,http://www.wikidata.org/entity/Q212466,1
http://www.wikidata.org/entity/Q95030,http://www.wikidata.org/entity/Q233365,1
http://www.wikidata.org/entity/Q95030,http://www.wikidata.org/entity/Q310295,1
http://www.wikidata.org/entity/Q95030,http://www.wikidata.org/entity/Q1744,1
http://www.wikidata.org/entity/Q95030,http://www.wikidata.org/entity/Q41163,1
http://www.wikidata.org/entity/Q504627,http://www.wikidata.org/entity/Q171745,1
http://www.wikidata.org/entity/Q504627,http://www.wikidata.org/entity/Q190519,1
http://www.wikidata.org/entity/Q504627,http://www.wikidata.org/entity/Q231395,1
http://www.wikidata.org/entity/Q504627,http://www.wikidata.org/entity/Q382036,1
http://www.wikidata.org/entity/Q504627,http://www.wikidata.org/entity/Q64260,1
http://www.wikidata.org/entity/Q1859686,http://www.wikidata.org/entity/Q201670,1
http://www.wikidata.org/entity/Q1972350,http://www.wikidata.org/entity/Q1252367,1
http://www.wikidata.org/entity/Q1972350,http://www.wikidata.org/entity/Q1971717,1
http://www.wikidata.org/entity/Q1972350,http://www.wikidata.org/entity/Q231704,1
http://www.wikidata.org/entity/Q1972350,http://www.wikidata.org/entity/Q267217,1
http://www.wikidata.org/entity/Q538608,http://www.wikidata.org/entity/Q105825,1
http://www.wikidata.org/entity/Q538608,http://www.wikidata.org/entity/Q15265332,1
http://www.wikidata.org/entity/Q538608,http://www.wikidata.org/entity/Q9056890,1
http://www.wikidata.org/entity/Q435029,http://www.wikidata.org/entity/Q95055,1
http://www.wikidata.org/entity/Q731331,http://www.wikidata.org/entity/Q939550,1
http://www.wikidata.org/entity/Q731331,http://www.wikidata.org/entity/Q1236412,1
http://www.wikidata.org/entity/Q731331,http://www.wikidata.org/entity/Q232298,1
http://www.wikidata.org/entity/Q731331,http://www.wikidata.org/entity/Q711129,1
http://www.wikidata.org/entity/Q939550,http://www.wikidata.org/entity/Q1236412,1
http://www.wikidata.org/entity/Q939550,http://www.wikidata.org/entity/Q232298,1
http://www.wikidata.org/entity/Q939550,http://www.wikidata.org/entity/Q711129,1
http://www.wikidata.org/entity/Q51583,http://www.wikidata.org/entity/Q164487,1
